,ID,full_name,overall,eur_value,eur_wage,league
5477,8631,Ricardo Jorge Rodrigues Pessoa,70,375000.0,5000.0,Portuguese Primeira Liga
32,9014,Arjen Robben,88,36000000.0,225000.0,German Bundesliga
390,9676,Samuel Eto'o,81,6500000.0,22000.0,Turkish Süper Lig
8045,9807,Michel Breuer,67,100000.0,5000.0,Holland Eredivisie
6105,9833,Diederik Boer,69,140000.0,3000.0,Holland Eredivisie
5627,10466,Stefan Ishizaki,70,750000.0,6000.0,Swedish Allsvenskan
5996,10824,Patrick Mtiliga,69,140000.0,6000.0,Danish Superliga
13318,10884,Michael Flynn,62,100000.0,2000.0,English League Two
13369,10899,Chris Porter,62,190000.0,4000.0,English League Two
5232,11381,Matt Gilks,70,425000.0,5000.0,English League One
17174,11430,Jamie McCombe,54,20000.0,2000.0,English League Two
15996,11488,Mike Edwards,58,20000.0,2000.0,English League Two
17990,11728,Barry Richardson,46,0.0,1000.0,English League Two
16083,11793,Steve Collis,57,10000.0,1000.0,English League One
12116,11811,Paul Green,63,180000.0,1000.0,English League One
7231,12940,Emanuel Pogatetz,68,270000.0,10000.0,Austrian Bundesliga
5078,13127,Vítor Emanuel Cruz da Silva,70,1000000.0,6000.0,Spanish Segunda División
1098,13732,John Terry,77,1200000.0,27000.0,English Championship
14176,13739,Alan Smith,61,80000.0,3000.0,English League Two
1659,14907,Albano Bizzarri,75,450000.0,11000.0,Italian Serie A
3903,16097,Nick Rimando,72,210000.0,3000.0,USA Major League Soccer
13038,16177,Noel Hunt,62,160000.0,3000.0,English League One
1046,16254,Tim Howard,77,600000.0,5000.0,USA Major League Soccer
3105,17605,Timmy Simons,73,0.0,14000.0,Belgian First Division A
4191,17725,Aaron Hughes,71,325000.0,5000.0,Scottish Premiership
4618,18115,Rúben Miguel Santos Fernandes,71,1600000.0,6000.0,Portuguese Primeira Liga
3121,18122,Nicolas Penneteau,73,550000.0,8000.0,Belgian First Division A
11392,18289,Magne Hoseth,64,140000.0,1000.0,Norwegian Eliteserien
6046,18771,Luke Steele,69,600000.0,18000.0,English Championship
5396,19104,Clint Hill,70,240000.0,7000.0,English League Two
1328,19292,James Collins,76,3100000.0,83000.0,English Premier League
10733,19410,Alex Revell,65,350000.0,3000.0,English League One
12218,19521,Jabo Ibehre,63,190000.0,4000.0,English League Two
13157,19541,Glenn Morris,62,150000.0,2000.0,English League Two
5643,19687,Arkadiusz Głowacki,70,240000.0,4000.0,Polish Ekstraklasa
9474,19874,Dean Whitehead,66,150000.0,8000.0,English Premier League
3955,20209,Ricardo Miguel Moreira Costa,72,425000.0,3000.0,Portuguese Primeira Liga
196,20289,Yaya Touré,83,12500000.0,145000.0,English Premier League
2770,20551,Andreas Isaksson,73,950000.0,4000.0,Swedish Allsvenskan
10729,20689,Joakim Karlsson,65,450000.0,1000.0,Swedish Allsvenskan
9722,20699,Kennedy Bakırcıoğlu,66,200000.0,1000.0,Swedish Allsvenskan
6639,20731,Joaquim Manuel Sampaio Silva,69,70000.0,3000.0,Portuguese Primeira Liga
195,20775,Ricardo Andrade Quaresma Bernardo,83,15500000.0,67000.0,Turkish Süper Lig
0,20801,C. Ronaldo dos Santos Aveiro,94,95500000.0,565000.0,Spanish Primera División
523,21146,Michael Carrick,80,3500000.0,86000.0,English Premier League
15355,22391,Raffaele Cretaro,59,70000.0,1000.0,Rep. Ireland Premier Division
2622,23823,Andreas Johansson,73,950000.0,5000.0,Swedish Allsvenskan
194,24630,José Manuel Reina Páez,83,10500000.0,59000.0,Italian Serie A
1696,25420,Claudio Pizarro,75,2400000.0,26000.0,German Bundesliga
11294,27480,Theo Zwarthoed,64,180000.0,3000.0,Holland Eredivisie
7232,27532,Dorus de Vries,68,120000.0,14000.0,Scottish Premiership
11011,28178,Steven Hammell,64,100000.0,2000.0,Scottish Premiership
14917,29118,Shinji Ono,60,70000.0,1000.0,Japanese J1 League
4342,29552,Shunsuke Nakamura,71,650000.0,4000.0,Japanese J1 League
997,31831,Kim Källström,77,4300000.0,9000.0,Swedish Allsvenskan
3918,32740,Johan Wiland,72,425000.0,2000.0,Swedish Allsvenskan
4091,34079,Ashley Cole,71,270000.0,4000.0,USA Major League Soccer
3294,34824,Antonio Floro Flores,72,1600000.0,14000.0,Italian Serie B
3312,36111,Kyle Beckerman,72,725000.0,4000.0,USA Major League Soccer
5601,39386,DaMarcus Beasley,70,375000.0,4000.0,USA Major League Soccer
11003,41233,Shola Ameobi,64,210000.0,5000.0,English League Two
31,41236,Zlatan Ibrahimović,88,27000000.0,240000.0,English Premier League
6684,41734,Benoît Cheyrou,68,280000.0,4000.0,USA Major League Soccer
6117,41835,Gaël Danic,69,450000.0,4000.0,French Ligue 2
3685,41874,Benoît Pedretti,72,425000.0,4000.0,French Ligue 2
3009,44960,Nils-Eric Johansson,73,550000.0,7000.0,Swedish Allsvenskan
4077,45083,Steve von Bergen,71,725000.0,15000.0,Swiss Super League
5917,45104,Morten Rasmussen,69,850000.0,10000.0,Danish Superliga
3475,45129,Daniele Cacia,72,2000000.0,4000.0,Italian Serie B
689,45186,Joaquín Sánchez Rodríguez,79,5500000.0,24000.0,Spanish Primera División
6311,45473,Christian Tiffert,69,450000.0,4000.0,German 2. Bundesliga
7577,45534,Mikael Antonsson,68,120000.0,8000.0,Danish Superliga
5664,45548,Tobias Hysén,70,825000.0,5000.0,Swedish Allsvenskan
4021,45574,Rafael van der Vaart,71,1200000.0,16000.0,Danish Superliga
915,45595,Daniele Bonera,77,1200000.0,23000.0,Spanish Primera División
4968,45605,Matteo Brighi,70,575000.0,3000.0,Italian Serie B
7203,45702,Ivan Pelizzoli,68,120000.0,2000.0,Italian Serie B
1208,45842,Jonas Olsson,76,2300000.0,8000.0,Swedish Allsvenskan
4157,45874,Alexander Farnerud,71,1400000.0,4000.0,Swedish Allsvenskan
2835,46175,Markus Rosenberg,73,2100000.0,8000.0,Swedish Allsvenskan
2580,46590,Christopher Samba,74,2300000.0,32000.0,English Championship
1819,46736,Emiliano Moretti,75,900000.0,26000.0,Italian Serie A
10969,46857,Morten Gamst Pedersen,64,190000.0,1000.0,Norwegian Eliteserien
8432,47020,Kevin Begois,67,180000.0,4000.0,Holland Eredivisie
1331,47201,Silvio Proto,76,3100000.0,1000.0,Greek Super League
3963,47860,Abdou Kader Mangane,72,950000.0,15000.0,French Ligue 1
522,48717,Júlio César Soares Espíndola,80,1000000.0,8000.0,Portuguese Primeira Liga
13148,48722,Junichi Inamoto,62,40000.0,1000.0,Japanese J1 League
2869,48745,Fabricio Coloccini,73,950000.0,14000.0,Argentinian Superliga
68,48940,Petr Čech,86,10500000.0,92000.0,English Premier League
2258,49000,Allan McGregor,74,1300000.0,6000.0,English Championship
6196,49026,Andrea Caracciolo,69,475000.0,3000.0,Italian Serie B
688,49031,Stefano Sorrentino,79,850000.0,12000.0,Italian Serie A
8337,49045,Kris Boyd,67,475000.0,6000.0,Scottish Premiership
4031,49161,Olivier Deschacht,71,325000.0,10000.0,Belgian First Division A
4188,49212,Julián Speroni,71,160000.0,17000.0,English Premier League
389,49369,Fernando José Torres Sanz,81,11000000.0,68000.0,Spanish Primera División
388,49370,Thiago Motta,81,5500000.0,81000.0,French Ligue 1
2149,49472,Ludovic Butelle,74,2300000.0,17000.0,Belgian First Division A
8043,49486,Bartholomew Ogbeche,67,600000.0,8000.0,Holland Eredivisie
1707,49488,Etienne Didot,75,3900000.0,23000.0,French Ligue 1
9218,49511,Frode Kippe,66,40000.0,1000.0,Norwegian Eliteserien
9546,49589,Jon Jönsson,66,260000.0,2000.0,Swedish Allsvenskan
4810,49659,Karim Ziani,71,1200000.0,5000.0,French Ligue 2
4286,49756,Jakob Poulsen,71,1400000.0,19000.0,Danish Superliga
9965,49939,Alain Nef,65,130000.0,3000.0,Swiss Super League
6846,49966,Philippe Senderos,68,525000.0,5000.0,USA Major League Soccer
6158,50294,Souleymane Camara,69,550000.0,16000.0,French Ligue 1
5722,50429,Julio Álvarez,70,600000.0,6000.0,Spanish Segunda División
521,50542,Jermain Defoe,80,8000000.0,87000.0,English Premier League
4524,50598,Darren Bent,71,1500000.0,40000.0,English Championship
10694,50632,Peter Clarke,65,130000.0,1000.0,English League One
8917,50723,Stuart Taylor,66,90000.0,9000.0,English Premier League
8246,50816,Luke Wilkshire,67,160000.0,4000.0,Australian A-League
3301,50955,Johan Cavalli,72,1400000.0,4000.0,French Ligue 2
4493,51101,Maurizio Domizzi,71,325000.0,3000.0,Italian Serie B
7378,51116,Morten Morisbak Skjønsberg,68,270000.0,3000.0,Norwegian Eliteserien
3061,51123,Mathieu Bodmer,73,1200000.0,18000.0,French Ligue 1
9707,51159,Nelson Ferreira,66,280000.0,3000.0,Swiss Super League
2135,51257,Peter Crouch,74,2000000.0,47000.0,English Premier League
2751,51261,Boaz Myhill,73,1600000.0,42000.0,English Premier League
5368,51353,Kenny Miller,70,625000.0,29000.0,Scottish Premiership
10666,51394,Kevin Nolan,65,230000.0,4000.0,English League Two
5583,51412,Tim Cahill,70,600000.0,7000.0,Australian A-League
6888,51513,Don Cowie,68,425000.0,6000.0,Scottish Premiership
5412,51620,Cédric Varrault,70,240000.0,9000.0,French Ligue 1
1578,51730,Massimo Maccarone,75,2400000.0,7000.0,Australian A-League
7495,51910,Bruno Grougi,68,375000.0,4000.0,French Ligue 2
10731,51921,Adam Chambers,65,170000.0,2000.0,English League One
687,52091,Patrice Evra,79,1400000.0,25000.0,French Ligue 1
4495,52126,Florent Balmont,71,750000.0,10000.0,French Ligue 1
14351,52201,Jonas Johansen,61,190000.0,1000.0,Norwegian Eliteserien
3392,52270,Heiko Westermann,72,1300000.0,15000.0,Austrian Bundesliga
1709,52306,Chris Brunt,75,5000000.0,57000.0,English Premier League
3567,52326,Eldin Jakupović,72,1800000.0,30000.0,English Premier League
6148,52340,Mijat Marić,69,425000.0,9000.0,Belgian First Division A
9874,52474,Bjørn Helge Riise,66,325000.0,2000.0,Norwegian Eliteserien
9940,52491,Espen Bugge Pettersen,65,40000.0,1000.0,Norwegian Eliteserien
1209,52498,Matthias Lehmann,76,2300000.0,35000.0,German Bundesliga
14253,52679,Joe Murphy,61,60000.0,1000.0,English League One
904,52752,Tranquillo Barnetta,77,7000000.0,19000.0,Swiss Super League
4133,52778,Alain Rochat,71,725000.0,8000.0,Swiss Super League
4194,52797,Cristian Ledesma,71,725000.0,6000.0,Swiss Super League
6116,52842,Juan Jose Camacho Barnola,69,350000.0,4000.0,Spanish Segunda División
2054,53014,Fernando Navarro Corbacho,74,1200000.0,15000.0,Spanish Primera División
3366,53027,Alaeddine Yahia,72,725000.0,4000.0,French Ligue 2
6037,53073,Stefan Kulovits,69,325000.0,4000.0,German 2. Bundesliga
8062,53074,Steffen Hofmann,67,260000.0,10000.0,Austrian Bundesliga
2295,53110,Craig Gordon,74,2300000.0,36000.0,Scottish Premiership
193,53302,Daniele De Rossi,83,10500000.0,73000.0,Italian Serie A
14688,53352,Dannie Bulman,60,70000.0,1000.0,English League Two
10331,53363,Adam Collin,65,300000.0,4000.0,English League Two
8399,53412,Anton Ferdinand,67,450000.0,6000.0,English League One
4821,53502,Daniel Sjölund,71,1200000.0,5000.0,Swedish Allsvenskan
16756,53506,Danny Coyne,55,10000.0,1000.0,English League One
7797,53525,Paulo Jorge Pedro Lopes,67,50000.0,3000.0,Portuguese Primeira Liga
6065,53593,Gary O'Neil,69,325000.0,23000.0,English Championship
10277,53604,Gordon Greer,65,70000.0,2000.0,Scottish Premiership
387,53612,Per Mertesacker,81,10000000.0,110000.0,English Premier League
1047,53630,Jelle Van Damme,77,3600000.0,16000.0,Belgian First Division A
17149,53632,Barry Molloy,54,30000.0,1000.0,Rep. Ireland Premier Division
16879,53643,Jimmy Walker,55,10000.0,1000.0,English League Two
7282,53655,Jay Bothroyd,68,400000.0,3000.0,Japanese J1 League
5646,53736,Lee Camp,70,1000000.0,15000.0,English Championship
3197,53739,Lee Grant,73,1600000.0,42000.0,English Premier League
9813,53741,Lee Holmes,66,600000.0,4000.0,English League Two
13697,53756,Lewis Price,62,170000.0,2000.0,English League One
6654,53760,Sigamary Diarra,68,550000.0,4000.0,French Ligue 2
9961,53778,Marc Richards,65,280000.0,3000.0,English League One
14568,53818,Matt Bloomfield,60,120000.0,3000.0,English League Two
7996,53827,Matt Taylor,67,180000.0,7000.0,English League Two
12283,53842,Michael Tonge,63,180000.0,3000.0,English League Two
9181,53855,Nathan Tyson,66,300000.0,4000.0,English League Two
520,53914,Phil Jagielka,80,4500000.0,110000.0,English Premier League
15496,53960,Sam Russell,59,60000.0,2000.0,English League Two
8708,53998,Stephen Warnock,67,160000.0,5000.0,English Championship
13682,54008,Stephen Bywater,62,40000.0,1000.0,English Championship
3251,54013,Stewart Downing,73,3100000.0,19000.0,English Championship
4008,54018,Peter Niemeyer,71,950000.0,16000.0,German 2. Bundesliga
1577,54033,Tom Huddlestone,75,6000000.0,51000.0,English Championship
11031,54037,Tommaso Berni,64,180000.0,11000.0,Italian Serie A
386,54050,Wayne Rooney,81,15500000.0,120000.0,English Premier League
1613,54051,Wayne Routledge,75,5000000.0,57000.0,English Premier League
7477,100803,Karl Henry,68,270000.0,19000.0,English Championship
12663,101317,Michael Ratajczak,63,90000.0,1000.0,German 3. Liga
12773,101344,Otto Fredrikson,63,90000.0,1000.0,Norwegian Eliteserien
2845,101473,Tomasz Kuszczak,73,950000.0,14000.0,English Championship
8178,101488,Daniel Haas,67,375000.0,4000.0,German 2. Bundesliga
13339,101769,Tim Gorschlüter,62,120000.0,1000.0,German 3. Liga
3230,101880,Rob Green,73,270000.0,21000.0,English Premier League
7774,101904,Alessandro Frara,67,375000.0,3000.0,Italian Serie B
3033,102056,Simone Padoin,73,1500000.0,42000.0,Italian Serie A
3053,102064,Claudio Terzi,73,1600000.0,5000.0,Italian Serie B
13512,102593,Craig Woodman,62,90000.0,3000.0,English League Two
15548,102881,Kyriakos Stamatopoulos,59,10000.0,1000.0,Swedish Allsvenskan
5998,103496,Andrea Cossu,69,350000.0,22000.0,Italian Serie A
2010,103935,Alberto Aquilani,75,5000000.0,20000.0,Spanish Primera División
296,104389,Rune Almenning Jarstein,82,12500000.0,30000.0,German Bundesliga
8761,104442,Chris Burke,67,475000.0,5000.0,Scottish Premiership
6753,104476,Christian Grindheim,68,525000.0,4000.0,Norwegian Eliteserien
6649,104702,Daniel Braaten,69,450000.0,3000.0,Norwegian Eliteserien
11082,104737,Barry Roche,64,110000.0,2000.0,English League Two
10216,105046,Anders Østli,65,160000.0,1000.0,Norwegian Eliteserien
3539,105308,Jean-François Gillet,72,210000.0,6000.0,Belgian First Division A
7971,105533,Łukasz Załuska,67,180000.0,2000.0,Polish Ekstraklasa
9195,105827,Paweł Brożek,66,350000.0,3000.0,Polish Ekstraklasa
1034,105846,Artur Boruc,77,600000.0,32000.0,English Premier League
3665,105866,Cesare Bovo,72,950000.0,4000.0,Italian Serie B
126,106231,Aritz Aduriz Zubeldia,84,11000000.0,38000.0,Spanish Primera División
3388,106795,Gianluca Pegolo,72,425000.0,16000.0,Italian Serie A
3625,106874,Davide Brivio,72,2400000.0,20000.0,Italian Serie B
6013,107084,Michael Langer,69,600000.0,15000.0,German Bundesliga
10911,107261,Cyrille Merville,65,130000.0,1000.0,French Ligue 2
4824,107263,Fahid Ben Khalfallah,71,1200000.0,6000.0,Australian A-League
1610,107298,Yohann Pelé,75,2700000.0,20000.0,French Ligue 1
6824,107305,Mickaël Tacalfred,68,120000.0,4000.0,French Ligue 2
5036,107579,Federico Agliardi,70,725000.0,2000.0,Italian Serie B
1787,107647,Hamit Altıntop,75,2000000.0,22000.0,German 2. Bundesliga
3821,107713,Tom Starke,72,425000.0,25000.0,German Bundesliga
5848,108060,Veroljub Salatić,69,700000.0,15000.0,Russian Premier League
2657,108061,Reto Ziegler,73,2700000.0,12000.0,Swiss Super League
295,108080,Stephan Lichtsteiner,82,8500000.0,115000.0,Italian Serie A
2423,109493,Bram Castro,74,2300000.0,9000.0,Holland Eredivisie
918,109852,Gareth McAuley,77,1200000.0,44000.0,English Premier League
6429,110019,José Antonio Dorado Ramírez,69,325000.0,7000.0,Spanish Segunda División
7765,110606,Alan Mannus,67,180000.0,3000.0,Scottish Premiership
4994,110638,Alberto Cifuentes Martínez,70,120000.0,3000.0,Spanish Segunda División
385,110677,Miguel Ángel Moyá Rumbo,81,9000000.0,46000.0,Spanish Primera División
5518,110787,Borja Fernández Fernández,70,240000.0,5000.0,Spanish Segunda División
1374,110974,Asier Riesgo Unamuno,76,3900000.0,18000.0,Spanish Primera División
3772,111022,David Navarro Pedrós,72,425000.0,6000.0,Spanish Segunda División
9812,111085,Abel Gómez Moreno,66,150000.0,2000.0,Spanish Segunda División
5821,111125,Oguchi Onyewu,69,250000.0,4000.0,USA Major League Soccer
2746,111163,Steeve Elana,73,550000.0,4000.0,French Ligue 2
3565,111206,Sascha Riether,72,875000.0,22000.0,German Bundesliga
8641,111328,Luke McCormick,67,375000.0,5000.0,English League One
10442,111503,Chaouki Ben Saada,65,325000.0,7000.0,French Ligue 1
8674,111590,Liam Feeney,67,725000.0,9000.0,English Championship
519,111661,Carlos Idriss Kameni,80,7500000.0,59000.0,Turkish Süper Lig
2895,112244,Jaroslav Plašil,73,1700000.0,28000.0,French Ligue 1
518,112316,Jérémy Mathieu,80,6000000.0,21000.0,Portuguese Primeira Liga
11891,112362,François Zoko,64,280000.0,4000.0,English League Two
2525,112365,Renaud Cohade,74,4400000.0,16000.0,French Ligue 1
4850,112389,Thibault Giresse,70,600000.0,12000.0,French Ligue 1
1090,112542,Sergey Ignashevich,77,1200000.0,31000.0,Russian Premier League
3130,112847,Jermaine Jones,73,1700000.0,7000.0,USA Major League Soccer
1828,113045,Mauricio Pinilla,75,0.0,0.0,
294,113422,David Villa Sánchez,82,10000000.0,12000.0,USA Major League Soccer
7924,113456,Aitor Seguín Cid,67,1100000.0,12000.0,Spanish Primera División
8453,114356,Marco Wölfli,67,300000.0,10000.0,Swiss Super League
981,114764,Gorka Iraizoz Moreno,77,1200000.0,13000.0,Spanish Primera División
983,115533,Diego Benaglio,77,4500000.0,27000.0,French Ligue 1
7390,115888,Christofer Heimeroth,68,210000.0,9000.0,German Bundesliga
3514,116308,Rod Fanni,72,725000.0,13000.0,French Ligue 1
9159,116314,David Martin,66,400000.0,7000.0,English Championship
5336,116368,Youssouf Hadji,70,625000.0,5000.0,French Ligue 2
384,116494,Cédric Carrasso,81,4200000.0,34000.0,Turkish Süper Lig
5837,116762,Sébastien Roudet,69,350000.0,3000.0,French Ligue 2
6374,116917,Damien Perquis,69,650000.0,3000.0,French Ligue 2
2772,117063,Nicolas Douchez,73,270000.0,5000.0,French Ligue 2
8207,118646,Ian Henderson,67,600000.0,5000.0,English League One
8823,118794,Andy Lonergan,66,325000.0,7000.0,English Championship
10211,118868,Christoffer Källqvist,65,270000.0,1000.0,Swedish Allsvenskan
8502,119233,Tyrone Mears,67,220000.0,5000.0,USA Major League Soccer
11657,120243,Pier Graziano Gori,64,30000.0,1000.0,Italian Serie B
12741,120280,Steffen Rasmussen,63,150000.0,2000.0,Danish Superliga
2542,120306,Laurent Pionnier,74,1300000.0,12000.0,French Ligue 1
2563,120312,Michael Dawson,74,2300000.0,12000.0,English Championship
15305,120415,Scott Shearer,59,20000.0,1000.0,English League One
67,120533,Képler Laveran Lima Ferreira,86,13500000.0,94000.0,Turkish Süper Lig
4436,120718,Fabio Coltorti,71,325000.0,17000.0,German Bundesliga
4995,121134,Alexander Walke,70,725000.0,16000.0,Austrian Bundesliga
991,121170,Alexander Meier,77,4700000.0,34000.0,German Bundesliga
5154,121185,Christian Schulz,70,550000.0,14000.0,Austrian Bundesliga
686,121933,René Adler,79,7000000.0,28000.0,German Bundesliga
2203,121937,Michael Rensing,74,2800000.0,19000.0,German 2. Bundesliga
383,121944,Bastian Schweinsteiger,81,13500000.0,13000.0,USA Major League Soccer
10367,121980,André Poggenborg,65,270000.0,1000.0,German 3. Liga
7195,121988,Lukas Kruse,68,450000.0,6000.0,German 2. Bundesliga
10736,122066,Ronny König,65,280000.0,1000.0,German 3. Liga
7675,122361,Marco Donadel,68,425000.0,5000.0,USA Major League Soccer
11625,122541,Tommy Naurin,64,230000.0,1000.0,Swedish Allsvenskan
5557,122574,Steven Whittaker,70,675000.0,6000.0,Scottish Premiership
8876,122649,Logan Bailly,66,400000.0,3000.0,Belgian First Division A
9178,122718,Philipp Heerwagen,66,260000.0,4000.0,German 2. Bundesliga
12334,122723,Maximilian Nicu,63,190000.0,1000.0,German 3. Liga
2510,122849,Arouna Koné,74,3500000.0,17000.0,Turkish Süper Lig
12962,123159,Antoni Łukasiewicz,62,90000.0,2000.0,Polish Ekstraklasa
5581,123603,Hugo Campagnaro,70,240000.0,3000.0,Italian Serie B
5606,123611,Andrea Mantovani,70,725000.0,4000.0,Italian Serie B
3779,124337,Ali Turan,72,1300000.0,12000.0,Turkish Süper Lig
882,124375,Burak Yılmaz,78,9500000.0,38000.0,Turkish Süper Lig
1464,124607,Selçuk İnan,76,6000000.0,59000.0,Turkish Süper Lig
517,124635,Mehmet Topal,80,10000000.0,73000.0,Turkish Süper Lig
4921,124949,Sabri Sarıoğlu,70,975000.0,12000.0,Turkish Süper Lig
8442,125103,Orhan Şam,67,500000.0,10000.0,Turkish Süper Lig
8560,125132,Bora Körk,67,50000.0,5000.0,Turkish Süper Lig
2534,125167,Ersan Gülüm,74,4200000.0,7000.0,Australian A-League
4685,125397,Hakan Arıkan,71,950000.0,10000.0,Turkish Süper Lig
8327,125586,Stephan Andersen,67,180000.0,6000.0,Danish Superliga
1873,125871,Hasan Ali Kaldırım,75,5500000.0,51000.0,Turkish Süper Lig
6835,125995,Umut Bulut,68,475000.0,10000.0,Turkish Süper Lig
5408,126883,Abdullah Durak,70,1600000.0,11000.0,Turkish Süper Lig
4603,126909,Merter Yüce,71,1400000.0,12000.0,Turkish Süper Lig
6720,128529,Ufuk Ceylan,68,550000.0,7000.0,Turkish Süper Lig
2662,129566,Paul McShane,73,2700000.0,31000.0,English Championship
5227,131444,Rasmus Würtz,70,1000000.0,11000.0,Danish Superliga
2940,132740,Jesper Hansen,73,2300000.0,20000.0,Danish Superliga
1793,133249,Emil Hallfreðsson,75,3900000.0,26000.0,Italian Serie A
11262,134734,Jesper Westerberg,64,300000.0,2000.0,Swedish Allsvenskan
516,134744,Atiba Hutchinson,80,4500000.0,56000.0,Turkish Süper Lig
8216,134777,Grégory Bourillon,67,300000.0,4000.0,French Ligue 2
9353,134792,Dean Bowditch,66,575000.0,3000.0,English League One
11544,134811,Alexander Ludwig,64,270000.0,1000.0,German 3. Liga
1430,134820,Scott Brown,76,4400000.0,53000.0,Scottish Premiership
11613,134828,Kirk Broadfoot,64,260000.0,2000.0,Scottish Premiership
2530,134895,Roberto Hilbert,74,3100000.0,13000.0,German 2. Bundesliga
4079,134941,Steve Sidwell,71,1200000.0,31000.0,English Premier League
12183,134968,Robbie Haemhouts,63,220000.0,2000.0,Holland Eredivisie
4372,135032,Niki Zimling,71,1400000.0,10000.0,Danish Superliga
7189,135043,Anders Lindegaard,68,450000.0,21000.0,English Premier League
12476,135056,Jim McAlister,63,325000.0,2000.0,English League One
12495,135061,Chris Millar,63,180000.0,2000.0,Scottish Premiership
3326,135190,Michael Liendl,72,2700000.0,8000.0,Holland Eredivisie
11156,135218,Damien Perquis,64,180000.0,2000.0,French Ligue 2
3657,135303,Rodolfo Dantas Bispo,72,950000.0,21000.0,Russian Premier League
685,135451,Heurelho Silva Gomes,79,1700000.0,33000.0,English Premier League
293,135507,Fernando Luiz Rosa,82,12500000.0,130000.0,English Premier League
7337,135587,Niki Mäenpää,68,525000.0,19000.0,English Premier League
1269,135742,Alexis Ruano Delgado,76,5000000.0,25000.0,Spanish Primera División
5047,135743,Alexandre Geijo Pazos,70,925000.0,5000.0,Italian Serie B
1478,135883,Simon Francis,76,4400000.0,61000.0,English Premier League
3876,135891,Killian Overmeire,72,2100000.0,10000.0,Belgian First Division A
1112,136113,Wes Morgan,77,3600000.0,62000.0,English Premier League
4538,136363,Jo Gook Jung,71,1500000.0,6000.0,Korean K League Classic
13451,136365,Jong Min Lee,62,120000.0,1000.0,Korean K League Classic
13698,136445,Young Min Hyun,62,100000.0,1000.0,Korean K League Classic
9003,136504,Sung Hwan Cho,66,150000.0,2000.0,Korean K League Classic
4322,136553,Dong Gook Lee,71,850000.0,7000.0,Korean K League Classic
10487,136601,Yong Dae Kim,65,40000.0,1000.0,Korean K League Classic
5434,136875,Bogdan Lobonţ,70,120000.0,16000.0,Italian Serie A
2317,137089,Zoltán Gera,74,0.0,0.0,
1827,137109,Stijn Schaars,75,2700000.0,11000.0,Holland Eredivisie
3712,137114,Michaël Ciani,72,1300000.0,6000.0,USA Major League Soccer
9652,137163,Brian Carroll,66,150000.0,2000.0,USA Major League Soccer
11766,137166,Paul Jones,64,270000.0,7000.0,English Championship
93,137186,Andrea Barzagli,85,5000000.0,105000.0,Italian Serie A
1980,137199,Franco Brienza,75,2200000.0,5000.0,Italian Serie B
1241,137262,Stefan Kießling,76,4800000.0,56000.0,German Bundesliga
6863,137267,Ricardo Clark,68,425000.0,5000.0,USA Major League Soccer
15325,137321,Aurélien Faivre,59,10000.0,1000.0,French Ligue 2
684,137351,Daniel Baier,79,5000000.0,32000.0,German Bundesliga
